host_response_time,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,room_type,accommodates,beds,price,review_scores_rating,bathrooms_number,number_of_days_booked
within an hour,100,100,Western Addition,Private room,1,1,199,5,1,365
within an hour,100,80,Mission,Entire home/apt,4,2,499,4.97,1,334
within a few hours,100,100,Castro/Upper Market,Entire home/apt,2,2,155,4.83,1,365
within an hour,96.43234029939234,100,Sunset,Entire home/apt,4,2,150,4.85,1,183
within a few hours,100,88,Russian Hill,Private room,1,1,111,4.8,1,195
within a day,100,75,Western Addition,Entire home/apt,4,4,269,4.6,1,347
within an hour,96.43234029939234,87.44211994421188,Castro/Upper Market,Entire home/apt,8,4,500,5,2,1
within an hour,98,81,Downtown/Civic Center,Entire home/apt,2,1,112,4.85,1,52
within a few hours,100,80,Potrero Hill,Entire home/apt,5,2,295,4.8,1,121
within an hour,96.43234029939234,87.44211994421188,Castro/Upper Market,Entire home/apt,2,1,565,4.92,1,0
within an hour,100,97,Mission,Private room,1,2,80,4.86,1,286
within an hour,100,100,Bernal Heights,Entire home/apt,10,7,846,4.97,2,346
within an hour,100,99,Potrero Hill,Entire home/apt,2,1,290,4.96,1,20
within a few hours,100,61,Mission,Entire home/apt,2,1,87,4.3,1,103
within a few hours,100,75,Richmond,Entire home/apt,4,1,100,4.76,1,34
within an hour,100,75,Mission,Entire home/apt,2,2,115,4.71,1,329
within an hour,100,100,Presidio,Entire home/apt,4,2,189,4.81,1,365
within an hour,96.43234029939234,50,Potrero Hill,Entire home/apt,2,1,221,4.7,1,0
within an hour,100,78,Bayview,Private room,1,1,46,4.9,1,28
within an hour,100,93,South of Market,Entire home/apt,2,1,156,4.8,2,194
within a few hours,100,88,Richmond,Entire home/apt,2,1,135,4.78,1,200
within an hour,100,100,North Beach,Entire home/apt,2,1,225,4.7,1,0
within an hour,100,86,Bernal Heights,Entire home/apt,8,3,350,4.7,1,0
within an hour,100,91,Potrero Hill,Entire home/apt,2,1,181,4.98,1,139
within a day,90,69,Sunset,Entire home/apt,11,6,795,4.64,2,177
within an hour,96.43234029939234,100,Mission,Entire home/apt,6,3,350,4.9,2,342
within a few hours,100,89,North Beach,Private room,2,1,96,4.25,1,212
within an hour,100,99,Haight Ashbury,Private room,1,1,53,4.51,2,23
within an hour,100,100,Sunset,Private room,2,1,110,4.97,1,151
within an hour,96.43234029939234,87.44211994421188,Castro/Upper Market,Private room,1,1,89,4.85,1,365
within an hour,100,100,Mission,Private room,2,1,100,4.89,1,205
a few days or more,33,100,Nob Hill,Entire home/apt,9,4,230,4.62,1,74
within an hour,100,100,Richmond,Entire home/apt,8,7,509,4.82,2,354
within an hour,96.43234029939234,87.44211994421188,South of Market,Shared room,2,2,150,4.82,1,0
within an hour,96.43234029939234,50,Russian Hill,Entire home/apt,4,2,270,4.95,1,363
within a few hours,100,91,Bernal Heights,Entire home/apt,2,1,87,4.3,1,186
within a few hours,100,100,Mission,Private room,2,1,75,4.58,1,41
within an hour,100,97,Excelsior,Entire home/apt,5,3,198,4.97,2,321
within a few hours,75,87.44211994421188,Haight Ashbury,Entire home/apt,4,2,110,4.58,1,0
